infraction,count
STOP-WITHIN SCHOOL BUS LOAD ZN,133
STOP ON CENTRE STRIP,131
PARK ON-ST DISABLD LDG NO PRMT,123
STAND DISABL LOADING NO PERMIT,122
STOP BUS PROHIBITED TIME,122
PARK HWY 15M OF INTERSECTION,119
STOP/STAND/PARK VEND CONT ZONE,106
PARK-ISSUED CARD NOT DISPLAYED,99
PARK-SIGNED HWY WITHN TURN BAS,96
STOP-BSD OBSTR RDWY-IMPEDE TRF,83
PARK-OTHER THAN METERED SPACE,73
STOP ON CENTRE BOULEVARD,72
PARK UNAUTH VEH IN HDCPD SPACE,71
PARK - ON FRONT YARD,71
PARK HWY 30.5 FIREHALL OPP SDE,70
STAND IN DISABLED NO PERMIT,63
PARK HWY 30.5M OF INTERSECTION,52
PARK NOT WITHIN PERMITTED TIME,47
PARK STR DISABLD LDG NO DROPOF,40
PARK TAXI FOR HIRE UNATH LOCAT,36
PARK OTHER THAN METERED SPACE,33
STOP ON BRIDGE,32
PARK TO WASH/GREASE/REPAIR,31
PARK DISABLD LOADING NO PERMIT,29
STOP/PARK DIS SPACE NO PERMIT,27
STOP ON-STRT DISABLD NO PERMIT,23
PARK DISABLD LDG NOT DROP OFF,23
PARK - 2 SPACES - NO FEE      ,22
STOP ADJ TO END OF CENTRE STRI,18
PARK HWY 7.5M FIRE HALL SM SDE,16
STOP-ADJACENT TO CENTRE STRIP,16
FAIL TO PARK/STOP PARALLEL TO,15
STOP-BSD EXCA IN RDWY-IMPEDE T,15
FAIL TO PARK/STOP NR RGHD HWY,14
PARK OVERNIGHT NO PERMIT,12
FAIL TO PARK/STOP PARALLEL -LF,12
STOP-ACROS EXCAV RDWY-IMPEDE T,11
PARK SIGNALZD XWALK 15M SM SDE,11
PARK-FAIL TO ACTIVATE MACHINE ,10
PARK MORE THAN 7DAYS NO PERMIT,9
STOP ADJ TO CTR BLVD-END,9
PARK/LEAVE BUS CONTR. TO SIGN,9
PARK 30.5M XWALK OPPOSITE SIDE,8
PARK PROH TIME SCOLLARD ST,7
FAIL TO PARK/STOP AS CLOSE AS,7
STOP/STAND/PARK - NO VEND ZONE,6
PARK-HWY-INTF OF FUNERAL PROC,6
PARK VEHICLE PROHIBITED TIME,6
PARK PREVENT REMOVAL OF VEHICL,6
PARK ON TRACK ON SNOW ROUTE,6
PARK FAIL TO ATIVATE MACHINE,6
STOP/STAND/PARK VEND NO PERMIT,5
PARK - BOULEVD NO VALID PLATES,5
STOP ACRS OBSTR RDWY IMPED TRF,4
PARK-F OF VEH TOO FAR FROM MTR,3
STOP-WITHIN 15.0M OF SAFETY ZN,3
STAND VEHICLE-SIGNED HIGHWAY,3
PARK LT 0.3M FROM WINDOW,3
STAND VEHICLE UNATTENDED,2
PAR PARK-R OF VEH NOT OPP MTR,2
PARK/LEAVE UNPD PARKING INV,2
PARK VEHICLE/MOTORCYCLE WITHIN,2
PARK EXCEEDS MAXIMUM TIME,2
PARK-2 SPACES-NO FEE-MTR/MACH,2
PARK LT 0.3M FROM SIDEWALK,2
PARK VEH BEYOND DESIG AREA,2
PARALLEL PARK-METERED SPACE-FR,2
PARK VEHICLE - PROHIBITED TIME,2
LEAVE OVERNIGHT WITHOUT PERMIT,1
FAIL TO PARK/STOP 45 DEG ANGLE,1
PAR PARK - F TIRES NOT OPP MTR,1
PARK-FRONT OF VEH NOT OPP MTR,1
PARK PRO VEH ON PEDESTRIAN WAY,1
PARK LESS THAN 0.3M FROM WALL,1
LEAVE IN PARK NOT DESIG AREA,1
PARK - FR YARD NO VALID PLATES,1
PARK METERED SPACE PARK LOT,1
STAND VEHICLE-SIGNED HIGHWAY-3,1
STAND VEHICLE-SIGNED HIGHWAY-W,1
PARK AUTOMOBILE - IN SPACE,1
PARK ON-STREET HANDICAP SPACE,1
STAND VEH HWY 30.5 BUS STOP,1
PARK/STOP/STAND FOR VENDING,1
PARK - METER NOT USED         ,1
STAND VEHICLE SIGNED HIGHWAY 2,1
PARK/STOP OVER 30CM FROM CURB,1
PARK MOTORCYCLE - IN SPACE,1
FAIL ANGLE PARK/STOP-DSGNTD SP,1
STOP-ON ELEVATED STRUCTURE,1
STOP PROH TIME MAITLAND ST.,1
ANGLE PARK-METERED SPACE-FRONT,1
